Номер операции      Угол элевации       Угол курса
0                   0               0
1                   19.4847               0
2                   19.4847               0
3                   19.4984               0.802141
4                   19.4984               0.802141
5                   19.5123               1.60428
6                   19.5264               2.40642
7                   19.5407               3.20856
8                   19.5552               4.0107
9                   19.5699               4.81285
10                   19.5847               5.61499
11                   19.5997               6.41713
12                   19.615               7.21927
13                   19.6304               8.02141
14                   19.6617               9.62569
15                   19.6617               9.62569
16                   19.6937               11.23
17                   19.6937               11.23
18                   19.7265               12.8343
19                   19.7265               12.8343
20                   19.7598               14.4385
21                   19.7598               14.4385
22                   19.7939               16.0428
23                   19.7939               16.0428
24                   19.8112               16.845
25                   19.8286               17.6471
26                   19.8461               18.4492
27                   19.8639               19.2514
28                   19.8817               20.0535
29                   19.9179               21.6578
30                   19.9179               21.6578
31                   19.9362               22.4599
32                   19.9547               23.2621
33                   19.9733               24.0642
34                   19.992               24.8664
35                   20.0108               25.6685
36                   20.0108               25.6685
37                   20.0298               26.4707
38                   20.0489               27.2728
39                   20.0681               28.0749
40                   20.1069               29.6792
41                   20.1069               29.6792
42                   20.1462               31.2835
43                   20.1462               31.2835
44                   20.166               32.0856
45                   20.1859               32.8878
46                   20.226               34.4921
47                   20.226               34.4921
48                   20.2461               35.2942
49                   20.2664               36.0963
50                   20.2664               36.0963
51                   20.2868               36.8985
52                   20.3072               37.7006
53                   20.3484               39.3049
54                   20.3484               39.3049
55                   20.3691               40.107
56                   20.4106               41.7113
57                   20.4106               41.7113
58                   20.4315               42.5135
59                   20.4524               43.3156
60                   20.4734               44.1178
61                   20.5156               45.722
62                   20.5156               45.722
63                   20.5367               46.5242
64                   20.5579               45.722
65                   20.5791               46.5242
66                   20.6003               45.722
67                   20.6003               45.722
68                   20.6216               46.5242
69                   20.6644               44.9199
70                   20.6644               44.9199
71                   20.7073               46.5242
72                   20.7073               46.5242
73                   20.7288               45.722
74                   20.7719               47.3263
75                   20.7719               47.3263
76                   20.8152               45.722
77                   20.837               46.5242
78                   20.837               46.5242
79                   20.8587               45.722
80                   20.8806               46.5242
81                   20.9024               45.722
82                   20.9243               46.5242
83                   20.9463               45.722
84                   20.9903               47.3263
85                   20.9903               47.3263
86                   21.0124               46.5242
87                   21.0124               46.5242
88                   21.0345               45.722
89                   21.0566               46.5242
90                   21.0789               45.722
91                   21.0789               45.722
92                   21.1011               46.5242
93                   21.1234               45.722
94                   21.1458               46.5242
95                   21.1458               46.5242
96                   21.1681               45.722
97                   21.1906               46.5242
98                   21.2131               45.722
99                   21.2356               46.5242
100                   21.2582               45.722
101                   21.2808               46.5242
102                   21.3034               45.722
103                   21.3262               46.5242
104                   21.3489               45.722
105                   21.3717               46.5242
106                   21.3946               45.722
107                   21.4175               46.5242
108                   21.4634               48.1285
109                   21.4634               48.1285
110                   21.4864               47.3263
111                   21.5095               46.5242
112                   21.5095               46.5242
113                   21.5326               45.722
114                   21.5558               46.5242
115                   21.579               45.722
116                   21.6023               46.5242
117                   21.6256               45.722
118                   21.649               46.5242
119                   21.6724               45.722
120                   21.6959               46.5242
121                   21.7194               45.722
122                   21.743               46.5242
123                   21.7666               45.722
124                   21.7902               46.5242
125                   21.8139               45.722
126                   21.8377               46.5242
127                   21.8377               46.5242
128                   21.8615               47.3263
129                   21.8854               46.5242
130                   21.9093               45.722
131                   21.9332               46.5242
132                   21.9572               45.722
133                   21.9572               45.722
134                   21.9813               46.5242
135                   22.0054               47.3263
136                   22.0295               46.5242
137                   22.078               44.9199
138                   22.078               44.9199
139                   22.1267               46.5242
140                   22.1511               47.3263
141                   22.1511               47.3263
142                   22.1755               46.5242
143                   22.2               47.3263
144                   22.2246               46.5242
145                   22.2492               45.722
146                   22.2739               46.5242
147                   22.3234               44.9199
148                   22.3234               44.9199
149                   22.3482               45.722
150                   22.3731               46.5242
